"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",197,0,21,9,10,1,2,13,16,3,11,5,5,13,13,5,9,2,3,12,5,7,6,10,0,0,4,4,0,16,6,4,8,4,6,0,5,0,7,1,0,2,18,12,3,7,14,4,3,1,197,0,20,7,10,1,1,12,18,2,12,7,6,15,14,4,7,2,3,12,5,9,8,10,0,0,4,3,0,16,7,3,9,4,5,0,6,0,7,1,0,3,18,12,2,7,14,4,3,1,31,0,22,5,8,1,2,4,11,4,5,10,5,19,10,6,7,4,3,6,2,8,6,6,0,0,3,2,0,3,8,3,5,2,5,0,4,0,3,6,0,3,12,7,2,1,2,4,4,1,4,0,23,4,7,2,2,4,11,6,2,9,7,11,7,7,8,6,3,6,2,8,6,3,0,0,5,2,0,2,7,3,4,3,6,0,4,0,3,6,0,5,12,2,3,1,1,4,4,1,4,0,23,4,7,2,3,4,11,7,2,9,9,19,7,6,7,6,3,4,2,8,7,3,0,0,7,2,0,2,7,3,6,3,5,0,4,0,3,6,0,5,11,2,3,1,1,5,5,1
"2",0,0,20,5,2,95,1,3,0,0,0,0,12,10,2,3,13,1,1,1,0,4,4,2,0,0,1,1,0,0,1,0,0,2,6,0,0,0,2,2,0,0,0,2,4,2,0,3,5,2,0,0,23,4,8,17,3,3,5,8,3,9,11,31,3,7,11,8,3,3,2,5,6,2,0,0,6,4,0,2,7,4,5,2,3,0,2,0,4,5,0,5,9,2,3,2,1,3,5,1,0,0,25,2,6,32,3,4,2,10,2,9,10,32,3,6,14,8,4,2,2,4,7,2,0,0,7,4,0,2,7,4,5,3,2,0,1,0,3,5,0,4,8,2,3,2,2,3,5,1,0,0,24,2,3,47,3,4,2,8,1,6,10,38,4,7,17,6,3,2,2,4,4,1,0,0,8,4,0,2,5,5,4,3,3,0,2,0,3,5,0,4,5,2,3,2,2,3,5,2,0,0,25,2,3,60,3,1,0,6,1,2,10,34,2,3,19,5,3,0,0,3,4,1,0,0,8,4,0,2,1,3,4,3,3,0,1,0,2,0,0,4,4,2,4,2,2,1,5,1
"3",0,0,19,16,20,4,10,13,11,11,8,10,4,10,8,4,6,6,3,2,5,18,5,2,0,0,0,2,0,2,8,7,0,10,7,4,0,0,0,5,0,3,16,2,14,2,0,1,9,1,0,0,25,3,4,89,2,2,0,4,1,2,11,24,2,4,22,3,3,1,0,3,4,1,0,0,4,4,0,1,1,2,2,2,4,0,1,0,3,0,0,2,2,2,3,1,2,1,4,2,0,0,24,3,3,98,2,3,0,2,1,0,10,11,2,2,21,2,2,1,0,3,4,1,0,0,2,1,0,1,0,1,2,2,5,0,1,0,3,2,0,1,2,2,3,1,1,1,4,2,0,0,21,3,4,99,2,2,0,1,0,0,8,10,4,2,17,1,2,1,0,3,4,1,0,0,3,1,0,0,0,1,1,2,5,0,1,0,3,2,0,0,1,2,3,1,0,1,3,3,0,0,20,5,3,97,1,3,0,0,0,0,13,8,3,3,14,1,1,1,0,3,4,1,0,0,1,1,0,0,1,1,1,2,6,0,1,0,3,2,0,0,0,2,4,2,0,2,5,3
"4",127,0,20,18,20,5,3,11,10,10,17,8,8,10,12,5,11,5,6,3,7,9,8,14,3,0,7,5,0,9,15,5,7,13,6,4,3,0,5,1,0,4,3,11,10,1,10,4,19,2,0,0,18,4,1,96,1,4,0,0,0,5,12,10,5,2,10,1,0,1,0,4,4,3,0,0,2,0,0,0,1,0,1,3,7,0,0,0,2,3,0,0,0,2,3,1,0,3,3,2,0,0,15,5,3,84,2,4,0,1,1,7,11,10,7,2,8,1,0,1,0,5,4,3,0,0,2,0,0,1,2,0,1,3,6,0,0,0,2,3,0,0,0,2,3,1,0,3,3,1,0,0,12,9,4,67,4,9,1,1,1,9,9,10,8,2,5,1,0,0,0,6,4,4,0,0,3,0,0,1,2,0,1,3,7,0,0,0,2,2,0,0,0,2,3,1,0,2,3,1,191,0,12,9,17,53,5,20,5,2,18,10,9,10,8,2,4,1,1,0,13,5,6,4,0,0,4,1,0,9,3,0,13,5,6,1,3,0,1,5,0,1,1,6,3,10,5,5,4,1
"5",3,0,19,0,6,0,5,0,6,13,11,3,5,17,7,5,11,2,6,5,2,5,9,2,0,0,5,3,0,3,1,1,0,7,5,2,2,0,2,6,0,0,6,2,2,5,0,1,5,0,191,0,9,7,18,25,4,40,5,3,19,10,4,0,8,0,0,0,1,0,13,4,4,4,0,0,3,1,0,9,3,2,13,4,5,2,3,0,1,5,0,1,2,6,3,9,5,4,3,0,192,0,8,9,19,10,5,54,8,3,23,11,5,0,9,1,0,0,1,0,13,4,5,3,0,0,2,1,0,9,4,2,12,4,5,2,5,0,1,7,0,1,2,6,3,9,5,5,5,0,192,0,11,10,20,1,6,69,8,4,23,9,6,0,8,2,1,1,1,0,13,5,4,2,1,0,2,2,0,9,6,2,12,3,4,2,5,0,1,7,0,1,2,6,5,10,6,5,6,1,192,0,12,6,22,3,6,70,10,6,24,9,5,0,7,2,2,2,1,0,13,4,3,1,1,0,1,2,0,9,6,4,12,4,3,3,6,0,1,8,0,1,3,6,8,10,6,5,7,1
"6",196,0,23,9,38,21,4,15,4,12,7,18,4,31,11,2,16,3,7,2,10,5,8,6,2,0,6,3,0,13,3,5,6,4,7,5,1,0,3,1,0,2,14,14,11,4,14,3,6,3,1,0,14,8,14,4,6,58,8,7,9,7,5,0,7,2,2,6,0,0,0,6,3,2,1,0,0,2,0,1,10,6,0,5,2,4,3,0,1,5,0,0,4,2,14,1,1,3,9,2,1,0,16,11,14,4,7,50,10,7,8,11,6,9,9,4,3,6,0,1,1,9,3,2,1,0,0,2,0,1,10,6,0,8,3,4,3,0,1,5,0,0,11,2,14,1,1,3,8,2,1,0,17,14,13,4,9,38,10,7,7,12,6,10,10,4,6,6,0,2,1,11,4,2,1,0,0,2,0,1,10,7,0,8,5,3,3,0,1,4,0,0,12,2,14,2,1,3,8,2,0,0,19,15,13,5,10,24,9,10,4,11,5,10,9,3,7,7,3,2,5,19,5,2,0,0,0,3,0,2,9,7,0,8,5,3,1,0,0,4,0,1,13,2,15,2,0,1,7,1
"7",0,0,10,0,0,0,1,1,2,1,0,3,3,0,3,5,4,1,2,2,0,0,3,3,0,0,0,1,0,1,0,0,0,0,3,0,2,0,1,7,0,3,0,2,2,1,1,0,0,2,0,0,21,15,21,6,9,14,12,11,7,10,5,10,6,4,6,6,4,4,5,19,3,1,0,0,1,4,0,2,9,11,2,10,9,1,0,0,0,4,0,3,19,2,13,2,1,1,9,2,0,0,22,16,22,20,10,16,12,12,6,10,6,10,5,4,6,4,6,4,5,18,3,1,3,0,3,6,0,3,7,10,2,9,11,1,0,0,1,3,0,3,19,2,11,2,1,1,10,3,0,0,24,14,26,22,11,15,8,13,7,13,6,14,2,2,9,5,6,4,4,22,4,3,3,0,6,7,0,3,6,10,2,7,12,2,0,0,1,3,0,3,20,2,10,2,1,0,12,3,0,0,24,12,27,24,10,15,10,12,8,11,6,13,2,3,7,6,7,3,4,22,5,4,3,0,6,7,0,3,7,9,2,6,12,2,1,0,1,3,0,3,19,2,15,2,1,0,13,3
"8",191,0,15,1,6,0,0,12,10,1,4,4,8,0,11,0,12,1,1,7,9,3,6,9,0,0,3,4,0,15,5,1,5,16,4,0,3,0,2,1,0,5,2,12,2,2,12,5,0,0,0,0,25,11,26,25,7,8,9,9,6,10,5,24,0,1,5,6,4,2,0,19,6,4,3,0,6,7,0,2,8,11,2,6,9,1,2,0,2,1,0,1,20,2,13,0,1,0,14,3,0,0,25,8,19,24,7,6,7,6,6,8,5,30,0,1,5,5,5,2,1,17,7,4,3,0,5,9,0,2,7,6,2,4,8,1,2,0,2,0,0,0,20,2,11,0,1,0,10,3,0,0,23,9,15,15,8,6,6,5,5,9,4,30,0,1,5,4,4,1,1,16,7,5,3,0,5,7,0,2,4,7,0,4,6,1,2,0,2,0,0,0,20,2,10,0,1,1,8,1,193,0,24,12,21,7,7,14,13,7,14,14,3,30,7,5,7,2,5,5,11,13,8,15,1,0,4,5,0,8,8,9,4,4,5,2,3,0,1,0,0,2,22,15,8,6,8,4,7,0
"9",5,0,15,3,1,0,11,5,6,8,14,7,8,0,12,7,5,1,1,5,1,1,10,3,1,0,5,5,0,0,1,1,1,1,9,0,4,1,3,0,0,7,2,2,2,0,0,3,2,0,193,0,23,10,21,3,6,13,14,8,17,9,5,20,8,5,7,1,4,6,11,10,7,13,2,0,4,3,0,9,8,9,7,8,4,4,3,0,3,1,0,3,13,15,7,6,10,5,5,1,193,0,21,11,21,2,7,13,13,9,17,8,7,20,9,5,8,2,5,6,12,8,7,13,2,0,4,4,0,10,9,7,7,9,4,4,2,0,4,1,0,4,11,15,7,6,10,6,8,1,193,0,19,12,22,4,6,15,13,11,17,9,7,11,10,7,9,3,7,6,12,6,6,13,3,0,5,2,0,11,10,8,9,9,4,4,3,0,5,1,0,4,9,15,7,6,10,6,11,1,193,0,20,15,23,4,6,17,14,13,18,10,8,10,11,7,9,5,6,6,11,8,7,15,3,0,7,5,0,11,11,8,9,13,4,4,3,0,5,1,0,4,7,15,8,6,11,6,14,1
"10",1,0,8,7,1,2,4,1,5,3,33,0,7,10,21,2,5,5,2,2,1,6,3,4,0,0,3,1,0,2,2,2,1,2,6,0,1,3,2,4,0,2,0,2,2,0,0,1,3,3,1,0,17,14,16,4,4,7,8,7,10,5,7,10,6,3,8,6,6,2,2,13,6,5,3,0,5,8,0,5,14,4,4,12,7,2,3,0,6,1,0,2,0,2,8,0,4,3,21,2,1,0,15,15,16,4,5,7,6,7,9,6,7,10,6,5,7,6,8,1,2,16,6,5,2,0,5,8,0,4,13,3,3,11,6,0,4,0,6,0,0,1,0,2,5,1,4,4,20,2,1,0,15,14,18,4,7,7,5,7,7,6,7,7,5,5,7,8,7,1,2,16,7,7,2,0,6,9,0,4,16,3,4,8,6,0,3,0,5,0,0,2,0,2,6,2,4,2,22,2,187,0,15,13,25,5,7,25,13,6,17,6,5,10,8,6,6,7,11,1,7,17,7,18,2,0,7,9,0,10,23,2,10,7,4,0,4,0,4,0,0,3,7,13,6,5,20,4,18,2
